key,xValue,value
Panama,1980,32957
Panama,1990,28149
Panama,2000,18120
Panama,2010,1627
Panama,2011,1447
Panama,2012,1363
Panama,2013,1276
Panama,2014,1164
Panama,2015,1133
Paraguay,1820,0
Paraguay,1830,0
Paraguay,1840,0
Paraguay,1850,0
Paraguay,1860,0
Paraguay,1870,2
Paraguay,1880,2
Paraguay,1890,2
Paraguay,1900,2
Paraguay,1910,2
Paraguay,1920,2
Paraguay,1930,36
Paraguay,1940,85
Paraguay,1950,576
Paraguay,1960,1249
Paraguay,1970,1486
Paraguay,1980,3518
Paraguay,1990,6082
Paraguay,2000,4623
Paraguay,2010,449
Paraguay,2011,501
Paraguay,2012,454
Paraguay,2013,437
Paraguay,2014,363
Paraguay,2015,353
Peru,1820,0
Peru,1830,0
Peru,1840,0
Peru,1850,0
Peru,1860,35
Peru,1870,127
Peru,1880,25
Peru,1890,79
Peru,1900,79
Peru,1910,79
Peru,1920,79
Peru,1930,460
Peru,1940,1273
Peru,1950,5980
Peru,1960,19783
Peru,1970,25311
Peru,1980,49958
Peru,1990,110117
Peru,2000,137614
Peru,2010,14063
Peru,2011,13836
Peru,2012,12414
Peru,2013,12370
Peru,2014,10450
Peru,2015,9973
Philippines,1820,0
Philippines,1830,0
Philippines,1840,0
Philippines,1850,0
Philippines,1860,0
Philippines,1870,4
Philippines,1880,1
Philippines,1890,19
Philippines,1900,605
Philippines,1910,605
Philippines,1920,605
Philippines,1930,457
Philippines,1940,4099
Philippines,1950,17245
Philippines,1960,70660
Philippines,1970,337726
Philippines,1980,502056
Philippines,1990,534338
Philippines,2000,545463
Philippines,2010,56399
Philippines,2011,55251
Philippines,2012,55441
Philippines,2013,52955
Philippines,2014,48633
Philippines,2015,54307
Poland,1820,19
Poland,1830,366
Poland,1840,105
Poland,1850,1087
Poland,1860,1886
Poland,1870,11016
Poland,1880,42910
Poland,1890,107793
Poland,1900,107793
Poland,1910,107793
Poland,1920,224420
Poland,1930,26460
Poland,1940,7774
Poland,1950,6498
Poland,1960,55773
Poland,1970,33699
Poland,1980,63483
Poland,1990,172249
Poland,2000,117921
Poland,2010,7391
Poland,2011,6634
Poland,2012,6024
Poland,2013,6073
Poland,2014,5437
Poland,2015,4921
Portugal,1820,252
Portugal,1830,896
Portugal,1840,359
Portugal,1850,4218
Portugal,1860,4741
Portugal,1870,13990
Portugal,1880,15189
Portugal,1890,25874
